word|definition
Absorption|In paper, the tendency to absorb or soak up liquids or vapours it comes into contact with. In optics, the partial suppression of light through a given material such as a camera lens.
Accordion fold|Two or more parallel folds that open like an accordion.
Additive primaries|Red, green and blue.  When these colours of light are added together in equal quantities white light is produced.
Against the grain|Folding or feeding paper perpendicular to the natural grain direction of the paper.  (The fibers in paper tend to line up when the paper is made giving the paper's width different folding and cutting characteristics than it's length.)
Agate|A unit of measurement used in advertising, especially newspapers, to measure the vertical length of columns.  Fourteen agate lines equal one inch.
Anti offset spray|Used on press to prevent wet ink from transferring from one sheet of printed paper to it's neighbour.
Antique finish|Describes the surface texture of paper or card stock that has a rough texture similar to that of early papers.
Aperture|The hole in a lens that controls the light that passes through it.  The hole sizes are measured in F-stops such as F2.8.
Artwork|Illustrations, text, photos and other visual content used to create a printed piece.
Ascender|The part of a character that ascends above the the main body of type.  Such as the top of the letter d in ascender. 
Author's alterations|Changes made in the content of a piece after it has begun preparation for printing.
Application|A piece of computer software written to work in a specific operating system(s) for any specific purpose.  Examples of prepress applications are: Adobe Photoshop, Illustrator, Indesign and Kodak Prinergy.  Frequently shortened to App.
Aqueous coating|A fast drying water-based coating applied right after the inks and then passed through a heated air system for drying.  Usually used for applications such as post cards and covers or any highly handled piece.  Makes an attractive and durable high gloss finish.
Backing up|Printing the second side of a sheet that already has the first side printed on.
Back lining|Also called spine lining.  It is the process of reinforcing the spine of a sewn book block before the cover is attached, usually with fabric.  This will support it while allowing enough flexibility for it to open.  
Bad break|While flowing text a line break comes in an undesirable place such as when a single word is left by it's self at the end of a paragraph of the top of a line.
Base|Used in reference to fonts to refer to the part of a character that falls below the shoulder of the character.
Basic size|Each category of paper has a basic size.  Bond or ledger is 17 x 22 inches, offset book or text is 25 x 38 inches, cover or card is 20 x 26 inches, tag stock is 24 x 36 inches and index is 25 1/2 x 30 1/2 inches.
Basis weight|The weight of 500 sheets (a ream) of paper in it's basic size.  Each category of paper (ledger, offset, cover, tag, index) has it's own basic size, so weights of papers from different categories cannot be easily compared without a conversion chart.  For example 20# bond is heavier per square inch than 40# offset.  Confusing we know, we didn't make the system.
Blanket|Part of an offset printing press.  It is a thick rubber surfaced fabric clamped around the cylinder that transfers the inked image on the plate to the paper.
Bleed|An area of image that extends beyond where the finished piece will trim to allow for mechanical inaccuracy and adjustment during binding and trimming.
Blind embossing|A design that is stamped into the paper with out ink or metallic leaf, to leave only a textural impression in the paper.
Blowup|To enlarge an original.
Blueline or blueprint|Before the days of computer to plate.  It was a blue coloured proof made from film.
Body|Referring to ink, it is the vicosity or consistency of the ink.  Heavy body would be thick ink.  In typesetting and design, it is the main text of a page or article.
Body copy|The main text of a page or article as opposed to the headings, captions etc.
Bond paper|A grade of paper that emphasizes utility.  It makes a good durable writing paper or computer printer paper.
Book paper|A general term for paper intended for printing the interior or text pages of a publication.  It comes in a variety of finishes and with various coatings.  The basic size is 25 x 38 inches.
Book stock|In web printing it refers to a durable white sheet that tends to be heavier than average.
Brightness (of paper)|The reflectance or brilliance of the paper.
Burn|Especially in traditional, manual plate making it is used to refer to plate exposure.
Calendaring|A method of paper finishing that involves passing damp paper through heated rollers to increase it shine and smooth it's texture.
Calliper|The measured thickness of paper usually quoted in thousandths of an inch.  Can be measured using a micrometer.
Caps|Text in capital letters.
Case|Used in bookbinding to refer to the covers of a hard covered book.
Case bound|A hard cover perfect bound book usually bound using nylon stitching to supplement glue for longevity.
Cast coated|Coated paper dried under the pressure of a polished cylinder to produce a high gloss finish.
Catching up|Used in lithography to mean that the non image area of the plate is starting to take ink.
CCD|An acronym for Charge-Coupled Device.  It is used in reference to electronic image sensors in imaging devices such as digital cameras and scanners.  Strictly speaking the actual CCD does not include the photo electric light sensors, but is the device that serializes the parallel analogue signals from them and can be used in non-imaging applications.  However the term is commonly used for the entire image sensor chip.  In a CCD imaging chip the charge from each pixel is transported to one corner of the array for processing.
Chalking|Used to describe an ink drying problem where the vehicle absorbs too quickly into the paper creating a chalky appearance from the loose dusty pigment.
CMOS|An acronym for Complementary Metal Oxide Semiconductor (pronounced see-moss.)  A particular style of digital circuitry design, and the family of processes used to implement that circuitry.  Although at one time CMOS devises fell down on quality, CMOS devises are now known for low noise and low power consumption.  
CMOS image sensors|Electronic imaging sensors based on CMOS tecnology.  Each pixel contains a photodetoctor and an active amplifier contrasting a CCD that has a single processing device at one corner.  CMOS censors can be manufactured on the same equipment used to make most other silicon based chips making production inexpensive.  Traditionally CMOS sensors produced images that tended to be more noisy than comparable CCD chips, but with improved technology can now meet or exceed the results achieved using CCD chips.
Coated paper|Paper which has been coated with a compound to give certain desired qualities to the paper such as finish, ink absorbency, durability or wet strength. 
Cool colour|Colour in an image that is biased to the blue end of the light spectrum
Collate|Assembling of sheets or sections into order.
Colour correction|Any method used to improve colour rendition.  Today this is typically done in Photoshop or another computer application.
Colour separations|The individual colour components that will be imaged on each colour plate.  For process colour an image will be separated into cyan, magenta, yellow and black channels which will each be imaged separately onto plate and then printed with the appropriate colour.
Colour spaces|A model used to represent colour as data.  There are several commonly used colour spaces, but the three that are most likely to be seen in any prepress or printing environment are; RGB in digital imaging and computer screens, CMYK in printing and proofing and LAB as an intermediate colour space in colour management. 
Commercial register|A commercial standard where allowable misregistration of the colours on press must be less than the width of one row of dots.
Condensed type|A horizontally narrow type face designed to conserve space.
